"","originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"33","Genova, Italia","Genoa, Italy",8.946256,44.4056499,8.7160912,9.065573,44.3791252,44.514882,15418
"49","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"26","Caracas - Venezuela","Caracas, Venezuela",-66.8037185,10.4696404,-67.0627784,-66.7179533,10.39665,10.5401335,12235
"44","New York",NA,-83.63293655,40.7822269,-93.2612808,-73.7002721,40.4913699,40.9152556,813591
"50","<U+0411><U+0435><U+043B><U+0430><U+0440><U+0443><U+0441><U+044C> <U+041C><U+0438><U+043D><U+0441><U+043A>","Minsk, Belarus",27.5615244,53.9045398,27.3753548,28.0641033,53.7961897,53.9715871,17174
"29","Dortmund","Dortmund, Germany",7.4652981,51.5135872,7.3023977,7.6381273,51.4157322,51.6000368,15352
"40","London",NA,-62.2256132,42.877431875,-84.126262,0.148271,37.0797589,51.6723432,1969695
"36","India","India",78.96288,20.593684,68.162386,97.395561,6.7535159,35.5087008,1931424
"46","Penang",NA,100.32926005,5.41454425,100.1751347,100.55062,5.122673,5.5853349,31034
"32","Garage",NA,-17.9027582,35.3784709555556,-99.1169092,81.7546137,-1.2560969,52.3502785,7567982
"45","Paterson, New Jersey ","Paterson, NJ, USA",-74.171811,40.9167654,-74.2061969,-74.12958,40.8886819,40.94159,4260
"43","malaysia","Malaysia",101.975766,4.210484,98.9362527,119.813461,0.461421,7.819847,537057
"31","Florida","Florida, USA",-81.5157535,27.6648274,-87.634896,-80.0311371,24.5210795,31.000968,398331
"25","Bogotá, Colombia",NA,-74.0759315,4.598078,-74.45177,-73.99631,3.72977,4.8371,28036
"24","andria","76123 Andria BT, Italy",16.2966406,41.2272519,16.2638788,16.3194016,41.2051073,41.2485246,3039
"38","Lecheria, Anzoátegui","Lecheria, Venezuela",-64.695053,10.188904,-64.7142202,-64.6587038,10.1732969,10.2249583,2726
"48","UK.","United Kingdom",-3.435973,55.378051,-8.6493572,33.916555,34.5625145,60.902396,2244973
"42","Madrid","Madrid, Madrid, Spain",-3.7037902,40.4167754,-3.8341618,-3.5249115,40.3120639,40.5635903,16067
"34","Germany","Germany",10.451526,51.165691,5.8663425,15.0418962,47.2701115,55.058347,530655
"23"," Seattle, WA","Seattle, WA, USA",-122.3320708,47.6062095,-122.4359085,-122.2359032,47.4955511,47.734145,14581
"28","Denver",NA,-88.0723953666667,41.0199520833333,-105.109927,-74.5679711,39.614431,42.681832,1133693
"30","FCT, Abuja ","Abuja, Nigeria",7.483333,9.066667,7.2331238,7.5549459,8.9220428,9.1866247,15501
"35","Global",NA,-28.971379125,20.042263125,-102.174306,31.0105312,-23.1935182,41.3823421,6078744
"41","Los Angeles, California","Los Angeles, CA, USA",-118.2436849,34.0522342,-118.6681759,-118.1552891,33.7036917,34.3373061,32761
"47","U.K.",NA,-1.71880431666666,32.0454332166667,-92.6330686,72.8420225,6.435706,52.3036272,6244466
"501","Washington, D.C. and Garowe","Washington, DC, USA",-77.0368707,38.9071923,-77.1197401,-76.909393,38.8031494,38.995548,13629
"221","Cali, Colombia",NA,-75.6687015,6.288342575,-76.70695,-74.0251815,3.27202,9.4128863,354975
"271","GLOBAL",NA,-28.971379125,20.042263125,-102.174306,31.0105312,-23.1935182,41.3823421,6078744
"381","sud-ouest",NA,3.0544729,7.7902493,-3.960881,10.15105,3.9221986,11.348253,873771
"361","Seattle, WA","Seattle, WA, USA",-122.3320708,47.6062095,-122.4359085,-122.2359032,47.4955511,47.734145,14581
"181","Alicante, Spain",NA,-0.52537075,38.31573965,-0.589937,-0.4034191,38.2778105,38.3909328,7046
"191","Argentina","Argentina",-63.616672,-38.416097,-73.5603602,-53.637481,-55.0577146,-21.781046,1997198
"391","Sydney",NA,151.2069399,-33.87056895,150.502229,151.3426361,-34.1692489,-33.4245981,51213
"451","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"241","EARTH ","Earth, TX 79031, USA",-102.4107493,34.2331373,-102.419618,-102.384555,34.225743,34.2476349,1159
"401","U.K.",NA,-1.71880431666666,32.0454332166667,-92.6330686,72.8420225,6.435706,52.3036272,6244466
"371","Somewhere over the Rainbow","Somewhere Over the Rainbow Llc, 600 West Beaver Street, Zelienople, PA 16063, USA",-80.1486417,40.7844774,-80.1499907,-80.1472927,40.7831284,40.7858264,188
"351","okinawa | Japan","Okinawa Prefecture, Japan",127.6809317,26.2124013,122.933796,131.3320097,24.0458042,27.8854933,407052
"441","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"261","Germany","Germany",10.451526,51.165691,5.8663425,15.0418962,47.2701115,55.058347,530655
"331","Madrid","Madrid, Madrid, Spain",-3.7037902,40.4167754,-3.8341618,-3.5249115,40.3120639,40.5635903,16067
"471","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"461","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"231","CARACAS - VENEZUELA","Caracas, Venezuela",-66.8037185,10.4696404,-67.0627784,-66.7179533,10.39665,10.5401335,12235
"301","Indonesia","Indonesia",113.921327,-0.789275,95.009707,141.019562,-11.0074361,6.076912,2380464
"481","Venezuela","Venezuela",-66.58973,6.42375,-79.0255611,-59.80378,-4.1438179,14.470409,1163282
"251","England, Great Britain.","England, UK",-1.1743197,52.3555177,-6.4177822,1.7629159,49.8647517,55.8111127,429748
"211","Braga, Portugal","Braga, Portugal",-8.426507,41.5454486,-8.4806633,-8.3421791,41.510402,41.5841477,5966
"201","Bali - Indonesia","Bali, Indonesia",115.188916,-8.4095178,114.431626,115.7115281,-8.8492609,-8.061682,69386
"311","Jakarta","Jakarta, Special Capital Region of Jakarta, Indonesia",106.845599,-6.2087634,106.686211,106.972825,-6.3708331,-6.0886599,19417
"341","México","Mexico",-102.552784,23.634501,-118.36443,-86.7105711,14.5333037,32.7187629,1851053
"411","United Kingdom, London","London, UK",-0.1277583,51.5073509,-0.3514683,0.148271,51.3849401,51.6723432,20654
"291","India","India",78.96288,20.593684,68.162386,97.395561,6.7535159,35.5087008,1931424
"392","UK","United Kingdom",-3.435973,55.378051,-8.6493572,33.916555,34.5625145,60.902396,2244973
"402","US","United States",-95.712891,37.09024,-124.39,-66.94,18.9110642,71.389888,3446521
"382","Town 'n' Country","Town 'n' Country, FL, USA",-82.5773193,28.0105745,-82.639662,-82.5254519,27.968395,28.039976,6057
"252","Jupiter","Jupiter, FL, USA",-80.0942087,26.9342246,-80.1809688,-80.0568581,26.8824881,26.9709431,5518
"352","Santiago de Compostela.","Santiago de Compostela, A Coruña, Spain",-8.5448445,42.8782132,-8.5687833,-8.520756,42.8547216,42.9056883,3264
"322","Morelia, Mich","Morelia, Mich., Mexico",-101.1949825,19.7059504,-101.2920819,-101.1250609,19.6499307,19.7579979,9341
